title,release_year,country,duration,language,certification,gross,budget
Bloodsport,1988,USA,92,English,R,11806119,1100000
"Bright Lights, Big City",1988,USA,107,English,R,16118077,25000000
Child's Play,1988,USA,87,English,R,33244684,9000000
Crocodile Dundee II,1988,Australia,108,English,PG,109306210,15800000
Dangerous Liaisons,1988,USA,119,English,R,34700000,14000000
Dangerous Liaisons,1988,USA,119,English,R,34700000,14000000
Die Hard,1988,USA,131,English,R,81350242,28000000
Friday the 13th Part VII: The New Blood,1988,USA,88,English,R,19170001,2800000
Halloween 4: The Return of Michael Myers,1988,USA,88,English,R,17768000,5000000
Iguana,1988,Italy,97,English,,,3000000
Lady in White,1988,USA,118,English,R,1705139,4700000
Midnight Run,1988,USA,126,English,R,38413606,30000000
My Stepmother Is an Alien,1988,USA,105,English,PG-13,13854000,20000000
Mystic Pizza,1988,USA,104,English,R,12793213,6000000
Phantasm II,1988,USA,97,English,R,7282851,3000000
Poltergeist III,1988,USA,98,English,PG-13,14114488,10500000
Rain Man,1988,USA,133,English,R,172825435,25000000
Rambo III,1988,USA,87,English,R,53715611,63000000
School Daze,1988,USA,121,English,R,14545844,6500000
Scrooged,1988,USA,101,English,PG-13,60328558,32000000
Talk Radio,1988,USA,110,English,R,3468572,4000000
The Land Before Time,1988,USA,69,English,G,48092846,12500000
The Last Temptation of Christ,1988,USA,164,English,R,8373585,7000000
They Live,1988,USA,93,English,R,13008928,4000000
Twins,1988,USA,107,English,PG,111936400,15000000
Young Guns,1988,USA,107,English,R,44726644,13000000
A Nightmare on Elm Street 5: The Dream Child,1989,USA,89,English,X,22168359,8000000
Back to the Future Part II,1989,USA,108,English,PG,118500000,40000000
Batman,1989,USA,126,English,PG-13,251188924,35000000
Bill & Ted's Excellent Adventure,1989,USA,90,English,PG,40485039,10000000
Black Rain,1989,USA,125,English,R,45645204,30000000
Born on the Fourth of July,1989,USA,145,English,R,70001698,14000000
Dead Poets Society,1989,USA,128,English,PG,95860116,16400000
Do the Right Thing,1989,USA,120,English,R,27545445,6500000
Driving Miss Daisy,1989,USA,99,English,PG,106593296,7500000
Friday the 13th Part VIII: Jason Takes Manhattan,1989,USA,100,English,R,14343976,5000000
Glory,1989,USA,122,English,R,26830000,18000000
Glory,1989,USA,122,English,R,26830000,18000000
Halloween 5,1989,USA,96,English,X,11642254,3000000
Henry V,1989,UK,137,English,PG-13,10161099,9000000
Indiana Jones and the Last Crusade,1989,USA,127,English,PG-13,197171806,48000000
Licence to Kill,1989,UK,133,English,PG-13,34667015,32000000
Major League,1989,USA,107,English,R,49797148,11000000
New York Stories,1989,USA,124,English,PG,10763469,15000000
Pet Sematary,1989,USA,103,English,R,57469179,11500000
Road House,1989,USA,114,English,R,30050028,17000000
Roger & Me,1989,USA,91,English,R,6706368,160000
Sea of Love,1989,USA,113,English,R,58571513,19000000
"Sex, Lies, and Videotape",1989,USA,100,English,R,24741700,1200000
Star Trek V: The Final Frontier,1989,USA,107,English,PG,55210049,27800000
Tango & Cash,1989,USA,97,English,R,63408614,55000000
The Abyss,1989,USA,171,English,PG-13,54222000,69500000
The Blood of Heroes,1989,Australia,90,English,R,882290,10000000
The Toxic Avenger Part II,1989,USA,96,English,R,792966,2300000
Troop Beverly Hills,1989,USA,105,English,PG,8508843,18000000
UHF,1989,USA,150,English,PG-13,6157157,5000000
Warlock,1989,USA,103,English,R,9094451,7000000
We're No Angels,1989,USA,106,English,PG-13,10555348,20000000
When Harry Met Sally...,1989,USA,89,English,R,92823600,16000000
Arachnophobia,1990,USA,103,English,PG-13,53133888,31000000
Back to the Future Part III,1990,USA,118,English,PG,87666629,40000000
Child's Play 2,1990,USA,72,English,R,28501605,13000000
Dances with Wolves,1990,USA,236,English,PG-13,184208848,22000000
Days of Thunder,1990,USA,107,English,PG-13,82670733,60000000
Dick Tracy,1990,USA,105,English,PG,103738726,100000000
Die Hard 2,1990,USA,124,English,R,117541000,70000000
Edward Scissorhands,1990,USA,105,English,PG-13,56362352,20000000
Flatliners,1990,USA,115,English,R,61490000,26000000
Ghost,1990,USA,127,English,PG-13,217631306,22000000
Goodfellas,1990,USA,146,English,R,46836394,25000000
Gremlins 2: The New Batch,1990,USA,106,English,PG-13,41482207,50000000
Home Alone,1990,USA,103,English,PG,285761243,18000000
Kindergarten Cop,1990,USA,111,English,PG-13,91457688,26000000
Marilyn Hotchkiss' Ballroom Dancing and Charm School,1990,USA,34,English,,333658,34000
Metropolitan,1990,USA,98,English,PG-13,2938208,225000
Midnight Cabaret,1990,USA,94,English,R,,
Mo' Better Blues,1990,USA,129,English,R,16153600,10000000
Predator 2,1990,USA,103,English,R,30669413,35000000
Pretty Woman,1990,USA,125,English,R,178406268,14000000
Quigley Down Under,1990,Australia,119,English,PG-13,21413105,20000000
Shipwrecked,1990,Norway,92,English,PG,,60000000
Spaced Invaders,1990,USA,100,English,PG,15369573,3000000
The Adventures of Ford Fairlane,1990,USA,104,English,R,21413502,40000000
The Godfather: Part III,1990,USA,170,English,R,66676062,54000000
The Hunt for Red October,1990,USA,135,English,PG,122012643,30000000
Total Recall,1990,USA,113,English,R,119412921,65000000
Total Recall,1990,USA,113,English,R,119412921,65000000
Tremors,1990,USA,96,English,PG-13,16667084,11000000
Two Evil Eyes,1990,Italy,120,English,R,349618,9000000
Beastmaster 2: Through the Portal of Time,1991,USA,107,English,PG-13,869325,6000000
Bill & Ted's Bogus Journey,1991,USA,93,English,PG,38037513,20000000
Boyz n the Hood,1991,USA,112,English,R,57504069,6000000
Cape Fear,1991,USA,128,English,R,79100000,35000000
Double Impact,1991,USA,110,English,R,30102717,15000000
Flight of the Intruder,1991,USA,115,English,PG-13,14587732,35000000
Freddy's Dead: The Final Nightmare,1991,USA,93,English,R,34872293,8500000
Harley Davidson and the Marlboro Man,1991,USA,98,English,R,7434726,23000000
Hook,1991,USA,142,English,PG,119654900,70000000
House Party 2,1991,USA,94,English,R,19281235,5000000
Hudson Hawk,1991,USA,100,English,R,17218080,70000000
JFK,1991,France,206,English,R,70405498,40000000
Johnny Suede,1991,Switzerland,97,English,R,,500000
My Girl,1991,USA,102,English,PG-13,59847242,16500000
My Own Private Idaho,1991,USA,104,English,R,6401336,2500000
Return to the Blue Lagoon,1991,USA,102,English,PG-13,2807854,11000000
Robin Hood: Prince of Thieves,1991,USA,155,English,PG-13,165500000,48000000
Showdown in Little Tokyo,1991,USA,79,English,R,2275557,8000000
Slacker,1991,USA,100,English,R,1227508,23000
Star Trek VI: The Undiscovered Country,1991,USA,110,English,PG,74888996,30000000
Stone Cold,1991,USA,88,English,R,9286314,17000000
Straight Out of Brooklyn,1991,USA,91,English,R,2712293,450000
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,USA,88,English,PG,78656813,25000000
Terminator 2: Judgment Day,1991,USA,153,English,R,204843350,102000000
The Addams Family,1991,USA,99,English,PG-13,113502246,38000000
The Doors,1991,USA,140,English,R,35183792,38000000
The Fisher King,1991,USA,137,English,R,41895491,24000000
The Naked Gun 2Â½: The Smell of Fear,1991,USA,85,English,PG-13,86930411,23000000
The Prince of Tides,1991,USA,132,English,R,74787599,30000000
The Silence of the Lambs,1991,USA,138,English,R,130727000,19000000
White Fang,1991,USA,107,English,PG,34793160,14000000
A Few Good Men,1992,USA,138,English,R,141340178,40000000
A League of Their Own,1992,USA,128,English,PG,107458785,40000000
Aladdin,1992,USA,90,English,G,217350219,28000000
Alien 3,1992,USA,145,English,R,55473600,50000000
Army of Darkness,1992,USA,88,English,R,11501093,13000000
Batman Returns,1992,USA,126,English,PG-13,162831698,80000000
Boomerang,1992,USA,117,English,R,70100000,40000000
Bram Stoker's Dracula,1992,USA,155,English,R,82522790,40000000
Death Becomes Her,1992,USA,104,English,PG-13,58422650,55000000
El Mariachi,1992,USA,81,Spanish,R,2040920,7000
Fortress,1992,Australia,95,English,R,6739141,8000000
Glengarry Glen Ross,1992,USA,100,English,R,10725228,12500000
Hoffa,1992,USA,140,English,R,24276500,35000000
Home Alone 2: Lost in New York,1992,USA,120,English,PG,173585516,18000000
Howards End,1992,UK,140,English,PG,25967000,
Lethal Weapon 3,1992,USA,121,English,R,144731527,35000000
Light Sleeper,1992,USA,103,English,R,1100000,5000000
Malcolm X,1992,USA,202,English,PG-13,48169908,33000000
Medicine Man,1992,USA,106,English,PG-13,45500797,40000000
Memoirs of an Invisible Man,1992,USA,99,English,PG-13,14358033,40000000
My Cousin Vinny,1992,USA,120,English,R,52929168,11000000
Patriot Games,1992,USA,117,English,R,83287363,45000000
Radio Flyer,1992,USA,114,English,PG-13,4651977,35000000
Raising Cain,1992,USA,91,English,R,21370057,12000000
Reservoir Dogs,1992,USA,99,English,R,2812029,1200000
Split Second,1992,UK,96,English,R,5430822,7000000
The Bodyguard,1992,USA,129,English,R,121945720,25000000
The Crying Game,1992,UK,112,English,R,62549000,2300000
The Last of the Mohicans,1992,USA,117,English,R,72455275,40000000
The Lawnmower Man,1992,UK,140,English,R,32101000,10000000
The Mighty Ducks,1992,USA,100,English,PG,50752337,10000000
The Muppet Christmas Carol,1992,USA,89,English,G,27281507,12000000
Unforgiven,1992,USA,131,English,R,101157447,14400000
Wayne's World,1992,USA,94,English,PG-13,121697350,20000000
Airborne,1993,USA,91,English,PG,2850263,2600000
Alive,1993,USA,120,English,R,36733909,32000000
"Blood In, Blood Out",1993,USA,330,English,R,4496583,35000000
Cliffhanger,1993,USA,124,English,R,84049211,70000000
Cool Runnings,1993,USA,98,English,PG,68856263,15000000
Dazed and Confused,1993,USA,102,English,R,7993039,6900000
Ed and His Dead Mother,1993,USA,93,English,PG-13,,1800000
Excessive Force,1993,USA,87,English,R,1200000,3000000
Gettysburg,1993,USA,271,English,PG,10769960,25000000
Groundhog Day,1993,USA,101,English,PG,70906973,14600000
Hocus Pocus,1993,USA,96,English,PG,39514713,28000000
Jason Goes to Hell: The Final Friday,1993,USA,91,English,R,15935068,2500000
Jurassic Park,1993,USA,127,English,PG-13,356784000,63000000
Killing Zoe,1993,France,99,English,R,418953,1500000
Last Action Hero,1993,USA,130,English,PG-13,50016394,70000000
Les visiteurs,1993,France,107,French,R,700000,50000000
Loaded Weapon 1,1993,USA,84,English,PG-13,27979400,8200000
Madadayo,1993,Japan,134,Japanese,,48856,11900000
Menace II Society,1993,USA,97,English,R,27900000,3500000
Mrs. Doubtfire,1993,USA,125,English,PG-13,219200000,25000000
Much Ado About Nothing,1993,UK,111,English,PG-13,22551000,8000000
Nowhere to Run,1993,USA,94,English,R,22189039,15000000
Only the Strong,1993,USA,99,English,PG-13,3273588,6000000
Philadelphia,1993,USA,125,English,PG-13,77324422,26000000
Poetic Justice,1993,USA,109,English,R,27515786,14000000
Return of the Living Dead III,1993,USA,97,English,R,,2000000
RoboCop 3,1993,USA,104,English,PG-13,10696210,23500000
Romeo Is Bleeding,1993,UK,100,English,R,3275585,11500000
Ruby in Paradise,1993,USA,114,English,R,1001437,800000
Schindler's List,1993,USA,185,English,R,96067179,22000000
Shadowlands,1993,UK,115,English,PG,25842000,22000000
Sugar Hill,1993,USA,123,English,R,18272447,10000000
Super Mario Bros.,1993,UK,104,English,PG,20915465,42000000
Teenage Mutant Ninja Turtles III,1993,USA,96,English,PG,42660000,17000000
The Adventures of Huck Finn,1993,USA,108,English,PG,24103594,6500000
The Age of Innocence,1993,USA,139,English,PG,32000000,30000000
The Firm,1993,USA,154,English,R,158348400,42000000
The Fugitive,1993,USA,130,English,PG-13,183875760,44000000
The Nutcracker,1993,USA,92,English,G,2119994,19000000
The Pelican Brief,1993,USA,141,English,PG-13,100768056,45000000
The Piano,1993,New Zealand,121,English,R,40158000,7000000
The Princess and the Cobbler,1993,UK,80,English,G,669276,28000000
The Remains of the Day,1993,UK,134,English,PG,22954968,11500000
Tombstone,1993,USA,134,English,R,56505065,25000000
True Romance,1993,USA,121,English,R,12281500,13000000
Warlock: The Armageddon,1993,USA,98,English,R,3902679,3000000
What's Eating Gilbert Grape,1993,USA,118,English,PG-13,9170214,11000000
What's Love Got to Do with It,1993,USA,118,English,R,39100956,
3 Ninjas Kick Back,1994,USA,93,English,PG,11784000,20000000
A Low Down Dirty Shame,1994,USA,100,English,R,29392418,10000000
Ace Ventura: Pet Detective,1994,USA,78,English,PG-13,72217000,12000000
Baby's Day Out,1994,USA,99,English,PG,16671505,50000000
Beverly Hills Cop III,1994,USA,104,English,R,42610000,55000000
Bullets Over Broadway,1994,USA,98,English,R,13383737,20000000
Clear and Present Danger,1994,USA,141,English,PG-13,122012710,62000000
Clerks,1994,USA,102,English,R,3151130,230000
Crooklyn,1994,USA,115,English,PG-13,13640000,14000000
Disclosure,1994,USA,128,English,R,83000000,55000000
Don Juan DeMarco,1994,USA,97,English,PG-13,22200000,25000000
Dumb & Dumber,1994,USA,113,English,PG-13,127175354,16000000
Ed Wood,1994,USA,127,English,R,5887457,18000000
Exotica,1994,Canada,103,English,R,5132222,2000000
Forrest Gump,1994,USA,142,English,PG-13,329691196,55000000
Four Weddings and a Funeral,1994,UK,117,English,R,52700832,4500000
Heavenly Creatures,1994,New Zealand,108,English,R,3049135,5000000
Highlander: The Final Dimension,1994,Canada,99,English,PG-13,13829734,26000000
Hoop Dreams,1994,USA,170,English,PG-13,7830611,700000
Interview with the Vampire: The Vampire Chronicles,1994,USA,123,English,R,105264608,60000000
Legends of the Fall,1994,USA,133,English,R,66528842,30000000
Little Women,1994,USA,115,English,PG,50003300,15000000
Men of War,1994,USA,76,English,R,,8600000
Naked Gun 33 1/3: The Final Insult,1994,USA,83,English,PG-13,51109400,30000000
New Nightmare,1994,USA,107,English,R,18090181,8000000
On Deadly Ground,1994,USA,101,English,R,38590500,50000000
PCU,1994,USA,79,English,PG-13,4350774,8000000
Police Academy: Mission to Moscow,1994,USA,83,English,PG,126247,6200000
Pulp Fiction,1994,USA,178,English,R,107930000,8000000
Rapa Nui,1994,USA,107,English,R,305070,20000000
Renaissance Man,1994,USA,128,English,PG-13,24332324,40000000
RiÂ¢hie RiÂ¢h,1994,USA,95,English,PG,38087756,40000000
Serial Mom,1994,USA,95,English,R,7881335,13000000
Speed,1994,USA,116,English,R,121248145,25000000
Star Trek: Generations,1994,USA,118,English,PG,75668868,35000000
Street Fighter,1994,Japan,102,English,PG-13,33423521,35000000
The Client,1994,USA,119,English,PG-13,92115211,45000000
The Crow,1994,USA,98,English,R,50693162,23000000
The Flintstones,1994,USA,91,English,PG,130512915,45000000
The Hudsucker Proxy,1994,UK,111,English,PG,2869369,30000000
The Inkwell,1994,USA,110,English,R,8880705,
The Legend of Drunken Master,1994,Hong Kong,102,Cantonese,R,11546543,2000000
The Lion King,1994,USA,73,English,G,422783777,45000000
The Mask,1994,USA,114,English,PG-13,119938730,18000000
The River Wild,1994,USA,111,English,PG-13,46815748,45000000
The Santa Clause,1994,USA,97,English,PG,144833357,22000000
The Shadow,1994,USA,93,English,PG-13,32055248,25000000
The Shawshank Redemption,1994,USA,142,English,R,28341469,25000000
The Specialist,1994,Peru,110,English,R,57362581,45000000
There Goes My Baby,1994,USA,99,English,R,125169,10500000
Timecop,1994,Canada,99,English,R,44450000,27000000
True Lies,1994,USA,141,English,R,146282411,115000000
Wolf,1994,USA,125,English,R,65012000,70000000
Wyatt Earp,1994,USA,212,English,PG-13,25052000,63000000
Ace Ventura: When Nature Calls,1995,USA,90,English,PG-13,108360000,30000000
Apollo 13,1995,USA,140,English,PG,172071312,62000000
Assassins,1995,France,132,English,R,30306268,50000000
Babe,1995,Australia,91,English,G,66600000,30000000
Bad Boys,1995,USA,119,English,R,65807024,19000000
Bang,1995,USA,98,English,,,
Batman Forever,1995,USA,121,English,PG-13,184031112,100000000
Before Sunrise,1995,USA,105,English,R,5400000,2500000
Braveheart,1995,USA,178,English,R,75600000,72000000
Casino,1995,USA,178,English,R,42438300,52000000
Casper,1995,USA,100,English,PG,100328194,50000000
Clueless,1995,USA,97,English,PG-13,56631572,12000000
Congo,1995,USA,109,English,PG-13,81022333,50000000
Copycat,1995,USA,123,English,R,32051917,20000000
Crimson Tide,1995,USA,123,English,R,91400000,53000000
Cutthroat Island,1995,USA,124,English,PG-13,11000000,98000000
Dead Man Walking,1995,UK,122,English,R,39025000,11000000
Desperado,1995,USA,104,English,R,25625110,7000000
Die Hard with a Vengeance,1995,USA,128,English,R,100012500,90000000
First Knight,1995,USA,134,English,PG-13,37600435,55000000
Four Rooms,1995,USA,110,English,R,4301331,4000000
Friday,1995,USA,97,English,R,27900000,3500000
Get Shorty,1995,USA,105,English,R,72077000,30250000
GoldenEye,1995,UK,130,English,PG-13,106635996,58000000
Hackers,1995,USA,107,English,PG-13,7564000,20000000
Halloween: The Curse of Michael Myers,1995,USA,93,English,R,15126948,5000000
Home for the Holidays,1995,USA,103,English,PG-13,17518220,20000000
Jade,1995,USA,107,English,R,9795017,50000000
Jefferson in Paris,1995,France,139,English,PG-13,2474000,14000000
Kids,1995,USA,91,English,,7417210,1500000
Kiss of Death,1995,USA,101,English,R,14942422,40000000
Leaving Las Vegas,1995,USA,111,English,R,31968347,3600000
Mallrats,1995,USA,123,English,R,2122561,6000000
Money Train,1995,USA,105,English,R,35324232,68000000
Mortal Kombat,1995,USA,101,English,PG-13,70360285,18000000
Mr. Holland's Opus,1995,USA,143,English,PG,82528097,6500000
